,id,x,y,z,i,j,k,degree,to_remove
2336,36.0,500.0,611.9912853410033,65.31972647421809,100.0,122.39825706820065,2.1773242158072694,8.0,False
2363,37.0,440.0,646.6323014923809,65.31972647421809,88.0,129.32646029847618,2.1773242158072694,3.0,False
2364,38.0,480.0,646.6323014923809,65.31972647421809,96.0,129.32646029847618,2.1773242158072694,4.0,False
2443,39.0,300.0,750.5553499465134,65.31972647421809,60.0,150.11106998930268,2.1773242158072694,8.0,False
2471,40.0,280.0,785.196366097891,65.31972647421809,56.0,157.0392732195782,2.1773242158072694,3.0,False
2472,41.0,320.0,785.196366097891,65.31972647421809,64.0,157.0392732195782,2.1773242158072694,3.0,False
3121,42.0,540.0,415.6921938165305,97.97958971132712,108.0,83.1384387633061,3.265986323710904,2.0,False
3147,43.0,480.0,450.3332099679081,97.97958971132712,96.0,90.06664199358161,3.265986323710904,3.0,False
3148,44.0,520.0,450.3332099679081,97.97958971132712,104.0,90.06664199358161,3.265986323710904,10.0,False
3149,45.0,560.0,450.3332099679081,97.97958971132712,112.0,90.06664199358161,3.265986323710904,5.0,False
3176,46.0,500.0,484.9742261192856,97.97958971132712,100.0,96.99484522385713,3.265986323710904,9.0,False
3177,47.0,540.0,484.9742261192856,97.97958971132712,108.0,96.99484522385713,3.265986323710904,9.0,False
3179,48.0,620.0,484.9742261192856,97.97958971132712,124.0,96.99484522385713,3.265986323710904,2.0,False
3180,49.0,660.0,484.9742261192856,97.97958971132712,132.0,96.99484522385713,3.265986323710904,3.0,False
3202,50.0,440.0,519.6152422706632,97.97958971132712,88.0,103.92304845413264,3.265986323710904,6.0,False
3203,51.0,480.0,519.6152422706632,97.97958971132712,96.0,103.92304845413264,3.265986323710904,8.0,False
3204,52.0,520.0,519.6152422706632,97.97958971132712,104.0,103.92304845413264,3.265986323710904,6.0,False
3205,53.0,560.0,519.6152422706632,97.97958971132712,112.0,103.92304845413264,3.265986323710904,2.0,False
3230,54.0,420.0,554.2562584220407,97.97958971132712,84.0,110.85125168440814,3.265986323710904,5.0,False
3231,55.0,460.0,554.2562584220407,97.97958971132712,92.0,110.85125168440814,3.265986323710904,12.0,False
3232,56.0,500.0,554.2562584220407,97.97958971132712,100.0,110.85125168440814,3.265986323710904,9.0,False
3258,57.0,440.0,588.8972745734183,97.97958971132712,88.0,117.77945491468365,3.265986323710904,10.0,False
3259,58.0,480.0,588.8972745734183,97.97958971132712,96.0,117.77945491468365,3.265986323710904,11.0,False
3260,59.0,520.0,588.8972745734183,97.97958971132712,104.0,117.77945491468365,3.265986323710904,4.0,False
3286,60.0,420.0,623.5382907247958,97.97958971132712,84.0,124.70765814495917,3.265986323710904,2.0,False
3287,61.0,460.0,623.5382907247958,97.97958971132712,92.0,124.70765814495917,3.265986323710904,9.0,False
3288,62.0,500.0,623.5382907247958,97.97958971132712,100.0,124.70765814495917,3.265986323710904,6.0,False
3315,63.0,480.0,658.1793068761733,97.97958971132712,96.0,131.63586137523467,3.265986323710904,3.0,False
3340,64.0,340.0,692.8203230275509,97.97958971132712,68.0,138.56406460551017,3.265986323710904,2.0,False
3366,65.0,280.0,727.4613391789284,97.97958971132712,56.0,145.49226783578567,3.265986323710904,3.0,False
3367,66.0,320.0,727.4613391789284,97.97958971132712,64.0,145.49226783578567,3.265986323710904,6.0,False
3373,67.0,560.0,727.4613391789284,97.97958971132712,112.0,145.49226783578567,3.265986323710904,4.0,False
3395,68.0,300.0,762.102355330306,97.97958971132712,60.0,152.4204710660612,3.265986323710904,6.0,False
3401,69.0,540.0,762.102355330306,97.97958971132712,108.0,152.4204710660612,3.265986323710904,4.0,False
3402,70.0,580.0,762.102355330306,97.97958971132712,116.0,152.4204710660612,3.265986323710904,3.0,False
