,id,x,y,z,i,j,k,degree,to_remove
169,0.0,60.0,242.4871130596428,0.0,12.0,48.49742261192856,0.0,3.0,False
170,1.0,100.0,242.4871130596428,0.0,20.0,48.49742261192856,0.0,5.0,False
193,2.0,40.0,277.12812921102034,0.0,8.0,55.42562584220407,0.0,2.0,False
194,3.0,80.0,277.12812921102034,0.0,16.0,55.42562584220407,0.0,9.0,False
195,4.0,120.0,277.12812921102034,0.0,24.0,55.42562584220407,0.0,2.0,False
217,5.0,60.0,311.7691453623979,0.0,12.0,62.353829072479584,0.0,4.0,False
218,6.0,100.0,311.7691453623979,0.0,20.0,62.353829072479584,0.0,2.0,False
840,7.0,40.0,254.03411844343532,32.65986323710904,8.0,50.80682368868706,1.0886621079036347,3.0,False
841,8.0,80.0,254.03411844343532,32.65986323710904,16.0,50.80682368868706,1.0886621079036347,10.0,False
842,9.0,120.0,254.03411844343532,32.65986323710904,24.0,50.80682368868706,1.0886621079036347,6.0,False
865,10.0,60.0,288.67513459481285,32.65986323710904,12.0,57.73502691896257,1.0886621079036347,11.0,False
866,11.0,100.0,288.67513459481285,32.65986323710904,20.0,57.73502691896257,1.0886621079036347,8.0,False
867,12.0,140.0,288.67513459481285,32.65986323710904,28.0,57.73502691896257,1.0886621079036347,3.0,False
888,13.0,40.0,323.31615074619043,32.65986323710904,8.0,64.66323014923809,1.0886621079036347,4.0,False
889,14.0,80.0,323.31615074619043,32.65986323710904,16.0,64.66323014923809,1.0886621079036347,5.0,False
1490,15.0,80.0,230.94010767585027,65.31972647421809,16.0,46.18802153517005,2.1773242158072694,2.0,False
1491,16.0,120.0,230.94010767585027,65.31972647421809,24.0,46.18802153517005,2.1773242158072694,2.0,False
1513,17.0,60.0,265.5811238272278,65.31972647421809,12.0,53.116224765445565,2.1773242158072694,6.0,False
1514,18.0,100.0,265.5811238272278,65.31972647421809,20.0,53.116224765445565,2.1773242158072694,11.0,False
1515,19.0,140.0,265.5811238272278,65.31972647421809,28.0,53.116224765445565,2.1773242158072694,7.0,False
1537,20.0,40.0,300.22213997860536,65.31972647421809,8.0,60.04442799572107,2.1773242158072694,5.0,False
1538,21.0,80.0,300.22213997860536,65.31972647421809,16.0,60.04442799572107,2.1773242158072694,10.0,False
1539,22.0,120.0,300.22213997860536,65.31972647421809,24.0,60.04442799572107,2.1773242158072694,7.0,False
