,id,x,y,z,i,j,k,degree,to_remove
13173,103.0,312.5,194.85571585149867,122.47448713915891,62.5,38.97114317029973,4.08248290463863,4.0,False
13174,104.0,337.5,194.85571585149867,122.47448713915891,67.5,38.97114317029973,4.08248290463863,5.0,False
13175,105.0,362.5,194.85571585149867,122.47448713915891,72.5,38.97114317029973,4.08248290463863,2.0,False
13214,106.0,300.0,216.50635094610965,122.47448713915891,60.0,43.30127018922193,4.08248290463863,8.0,False
13215,107.0,325.0,216.50635094610965,122.47448713915891,65.0,43.30127018922193,4.08248290463863,10.0,False
13216,108.0,350.0,216.50635094610965,122.47448713915891,70.0,43.30127018922193,4.08248290463863,11.0,False
13254,109.0,287.5,238.15698604072062,122.47448713915891,57.5,47.63139720814412,4.08248290463863,2.0,False
13255,110.0,312.5,238.15698604072062,122.47448713915891,62.5,47.63139720814412,4.08248290463863,9.0,False
13256,111.0,337.5,238.15698604072062,122.47448713915891,67.5,47.63139720814412,4.08248290463863,12.0,False
13257,112.0,362.5,238.15698604072062,122.47448713915891,72.5,47.63139720814412,4.08248290463863,10.0,False
13295,113.0,275.0,259.8076211353316,122.47448713915891,55.0,51.96152422706632,4.08248290463863,3.0,False
13296,114.0,300.0,259.8076211353316,122.47448713915891,60.0,51.96152422706632,4.08248290463863,9.0,False
13297,115.0,325.0,259.8076211353316,122.47448713915891,65.0,51.96152422706632,4.08248290463863,12.0,False
13298,116.0,350.0,259.8076211353316,122.47448713915891,70.0,51.96152422706632,4.08248290463863,12.0,False
13299,117.0,375.0,259.8076211353316,122.47448713915891,75.0,51.96152422706632,4.08248290463863,7.0,False
13335,118.0,262.5,281.45825622994255,122.47448713915891,52.5,56.29165124598851,4.08248290463863,6.0,False
13336,119.0,287.5,281.45825622994255,122.47448713915891,57.5,56.29165124598851,4.08248290463863,5.0,False
13337,120.0,312.5,281.45825622994255,122.47448713915891,62.5,56.29165124598851,4.08248290463863,11.0,False
13338,121.0,337.5,281.45825622994255,122.47448713915891,67.5,56.29165124598851,4.08248290463863,12.0,False
13339,122.0,362.5,281.45825622994255,122.47448713915891,72.5,56.29165124598851,4.08248290463863,12.0,False
13340,123.0,387.5,281.45825622994255,122.47448713915891,77.5,56.29165124598851,4.08248290463863,5.0,False
13376,124.0,250.0,303.1088913245535,122.47448713915891,50.0,60.6217782649107,4.08248290463863,2.0,False
13377,125.0,275.0,303.1088913245535,122.47448713915891,55.0,60.6217782649107,4.08248290463863,3.0,False
13378,126.0,300.0,303.1088913245535,122.47448713915891,60.0,60.6217782649107,4.08248290463863,3.0,False
13379,127.0,325.0,303.1088913245535,122.47448713915891,65.0,60.6217782649107,4.08248290463863,3.0,False
13380,128.0,350.0,303.1088913245535,122.47448713915891,70.0,60.6217782649107,4.08248290463863,7.0,False
13381,129.0,375.0,303.1088913245535,122.47448713915891,75.0,60.6217782649107,4.08248290463863,6.0,False
13415,130.0,212.5,324.7595264191645,122.47448713915891,42.5,64.9519052838329,4.08248290463863,3.0,False
13416,131.0,237.5,324.7595264191645,122.47448713915891,47.5,64.9519052838329,4.08248290463863,7.0,False
13417,132.0,262.5,324.7595264191645,122.47448713915891,52.5,64.9519052838329,4.08248290463863,6.0,False
13421,133.0,362.5,324.7595264191645,122.47448713915891,72.5,64.9519052838329,4.08248290463863,2.0,False
13456,134.0,200.0,346.41016151377545,122.47448713915891,40.0,69.28203230275508,4.08248290463863,3.0,False
13457,135.0,225.0,346.41016151377545,122.47448713915891,45.0,69.28203230275508,4.08248290463863,11.0,False
13458,136.0,250.0,346.41016151377545,122.47448713915891,50.0,69.28203230275508,4.08248290463863,12.0,False
13459,137.0,275.0,346.41016151377545,122.47448713915891,55.0,69.28203230275508,4.08248290463863,7.0,False
13497,138.0,212.5,368.0607966083864,122.47448713915891,42.5,73.61215932167728,4.08248290463863,6.0,False
13498,139.0,237.5,368.0607966083864,122.47448713915891,47.5,73.61215932167728,4.08248290463863,11.0,False
13499,140.0,262.5,368.0607966083864,122.47448713915891,52.5,73.61215932167728,4.08248290463863,12.0,False
13500,141.0,287.5,368.0607966083864,122.47448713915891,57.5,73.61215932167728,4.08248290463863,8.0,False
13501,142.0,312.5,368.0607966083864,122.47448713915891,62.5,73.61215932167728,4.08248290463863,7.0,False
